state,district,soil type,crop,n,p,k,temperature,humidity,rainfall,recommendation,accuracy,yield
Maharashtra,Pune,Clay Soil,Cotton,79.72848575651776,62.48862781736814,40.30929163273965,26.278637038160216,49.31087342661976,882.9813462931241,Cotton,87.98344771125547,1574.6857658929785
Gujarat,Ahmedabad,Red Soil,Rice,78.36056717063995,36.42327953641101,40.29388136982622,22.28882877247762,79.39443838417068,962.0650050889202,Rice,86.03986196016223,3093.6913036298415
Gujarat,Vadodara,Red Soil,Rice,100.98911613042658,31.70510100315803,72.19146041387049,22.314255195676157,81.39111096613874,1022.8203670465556,Rice,85.84982908073901,3007.8480112934
Tamil Nadu,Madurai,Red Soil,Sugarcane,82.58419366054136,44.7830046718571,34.48280833169154,30.937594310217868,87.24187680856402,1363.597675713494,Sugarcane,89.20498328329855,5834.25671675727
Maharashtra,Pune,Black Soil,Cotton,73.4861552351899,52.06518275396844,29.564562033758214,23.848544555676924,56.308486883131486,590.0838863847649,Cotton,85.37782535219347,2220.691901304047
Karnataka,Tumkur,Sandy Soil,Cotton,71.17027828916915,47.37820167973926,47.40968154848673,29.217822618977785,58.181075182740805,923.2665258505906,Cotton,98.5953719322105,1598.1584025671445
Karnataka,Tumkur,Alluvial Soil,Cotton,87.84204878836302,43.76816376125861,30.41914616379751,28.61123823414982,52.914934137447105,643.1729878723429,Cotton,87.21903229268652,1887.5563841511282
Karnataka,Tumkur,Black Soil,Cotton,66.73525321181273,56.147892992481495,48.335750669279975,29.964610434813473,61.2091542395702,633.0981958312844,Cotton,94.79415151214796,2328.5041886183944
Gujarat,Surat,Red Soil,Millet,60.8505382260344,38.22055034487032,30.361341957891458,24.298523612945573,54.63659837230091,496.4575300892862,Millet,88.38390239210506,1710.4598273505871
Andhra Pradesh,Ongole,Clay Soil,Sugarcane,96.76628306242664,54.1780660163159,25.568635092471517,32.4688230426231,85.24474305798037,1318.518611723931,Sugarcane,93.63112410774107,5288.979799177483
Maharashtra,Pune,Sandy Soil,Sugarcane,95.46346180993692,55.16254964656608,53.825294798190995,30.178480051045845,70.28696375373892,1426.8547705049407,Sugarcane,98.92342142651778,4959.294559940058
Maharashtra,Pune,Black Soil,Cotton,81.2853670124467,58.3883580983006,31.057752013093747,25.386629177691482,55.17269182535685,783.6908136708142,Cotton,85.35735635342932,1652.7025477805873
Kerala,Thrissur,Sandy Soil,Cotton,62.01388396513452,49.86470641918177,39.76003061190468,27.711825271398602,62.82701605918409,955.6018766478742,Cotton,88.0169922864455,1587.2337886880252
Andhra Pradesh,Nellore,Black Soil,Cotton,90.34597231322579,55.740667240211444,39.99337204601093,24.958217931539345,60.54301554343347,747.3265743745587,Cotton,88.89684275440538,2382.0229650422225
Kerala,Thrissur,Sandy Soil,Groundnut,32.35677730652489,42.05898886019143,59.365811335639506,23.566955844488977,60.888810121242734,778.656744063753,Groundnut,94.3168108217495,1978.9144024766633
Gujarat,Surat,Clay Soil,Rice,81.45786460873471,29.653906196093786,31.364195612304805,21.37292951048135,84.58987276763827,1241.2752664954041,Rice,88.4629083283087,4241.056113611082
Andhra Pradesh,Nellore,Alluvial Soil,Sugarcane,114.8458204349404,61.18228888030115,58.131053689135996,29.390229252364346,84.50206111035052,1281.599088716954,Sugarcane,95.27730069680402,5614.848379918674
Gujarat,Vadodara,Sandy Soil,Maize,89.97248939944583,47.68018900144255,51.983263617390186,21.232665657272353,57.30882649201147,582.1331901858462,Maize,92.32895182344664,2610.284818927949
Karnataka,Tumkur,Alluvial Soil,Rice,115.2647884554147,25.308355768437664,77.93207275698698,19.73570240783469,90.89221443299348,1258.804721420617,Rice,88.92554372795156,3046.0250064819966
Kerala,Thrissur,Alluvial Soil,Wheat,105.71850528037041,39.7212704606837,61.36583397881475,23.553360538697355,56.27804658968772,593.256318104847,Wheat,97.37789871031532,3785.0275243526585
Gujarat,Ahmedabad,Black Soil,Cotton,69.19132606583688,53.83092742612678,57.815604166521865,31.3316978294391,57.17981504899723,906.6330389415211,Cotton,89.8027463530753,1915.1421783202868
Karnataka,Tumkur,Red Soil,Millet,69.4909749943539,32.049235643203254,51.7031325400863,27.963347630941218,63.08450918521818,450.2404176863026,Millet,98.6191209186977,1197.4924678247019
Gujarat,Surat,Black Soil,Cotton,81.92357258787969,68.48824179323559,34.64912674376197,34.35033151973835,61.06796210417428,709.5659541890075,Cotton,91.90874763323433,1772.563541663869
Andhra Pradesh,Ongole,Black Soil,Cotton,74.76563039742746,66.41062306431708,55.760795455030554,28.93899413297458,56.048901620662015,718.1858640751279,Cotton,85.37262752571311,1977.7830629141952
Karnataka,Mysuru,Clay Soil,Groundnut,35.955051989028476,65.82391572408315,78.39902173458219,29.20563984358084,67.24417309256714,720.228330260384,Groundnut,89.07800194696085,2410.30479728925
Tamil Nadu,Erode,Red Soil,Groundnut,42.17982427569831,57.09960119318882,51.92308364304417,23.607339421828552,68.80538130257301,675.9807633557315,Groundnut,85.80086952853651,2163.03975951265
Maharashtra,Nashik,Alluvial Soil,Rice,74.49360682418559,44.93929869163294,52.47223516610935,25.33777649672364,87.2044340429462,1250.0562097829995,Rice,94.83740102040329,4441.832540358193
Tamil Nadu,Madurai,Black Soil,Sugarcane,75.29868068536622,56.4630492989825,59.904718086817084,28.46497337122736,79.91291326585026,1359.8968432602678,Sugarcane,91.42067451537122,4624.676252726863
Maharashtra,Nagpur,Sandy Soil,Wheat,112.84206764747736,40.99844908893022,44.5910952228593,22.6619448132997,51.68496824097143,494.737141139339,Wheat,97.70809299678399,2589.566839265582
Andhra Pradesh,Guntur,Black Soil,Cotton,63.18600750507068,56.21959792502081,62.193840789280536,26.976481170213436,59.06611849494332,873.0907418680476,Cotton,86.633372174684,2140.897201606572
Maharashtra,Nagpur,Alluvial Soil,Rice,105.3964954934568,29.70042476176296,46.45293367396306,23.860792036280827,84.14974202920098,871.4301940291002,Rice,90.10711650092352,3244.4383969069017
Gujarat,Surat,Black Soil,Wheat,96.77897992537018,44.53177801900573,28.098967706169574,17.482972323369875,51.22237186697575,604.9884122027239,Wheat,86.66702290038111,2540.7836569340193
Gujarat,Surat,Alluvial Soil,Rice,89.11463582291337,37.73411325233312,44.48038417662674,27.214350237531185,89.7607132501162,978.0020601044782,Rice,92.2898969446044,4231.892712143737
Kerala,Thrissur,Black Soil,Maize,70.90860519477107,54.09717416102527,93.72199774283489,23.656556332331967,65.20474338963032,717.5203740307924,Maize,85.74568214823317,3173.6310632246036
Karnataka,Mysuru,Sandy Soil,Wheat,107.13018223514912,45.079244174773585,61.5453745341699,26.215494243198044,50.716588221564166,703.3092534551477,Wheat,90.30594369822481,3055.9320887524746
Maharashtra,Pune,Alluvial Soil,Maize,83.00230393240349,50.35387328960427,84.71934321971985,25.368085286222623,66.0045031169303,729.2300462202054,Maize,89.25538348111724,2565.584965496271
Tamil Nadu,Madurai,Black Soil,Cotton,65.37284699623048,51.478696652982485,50.66575422986006,26.859257070392953,69.11598633636164,821.155295552745,Cotton,90.99974536556896,2425.3435645901473
Karnataka,Mysuru,Red Soil,Rice,64.17117078750314,27.473718445121378,66.76923191238187,22.3600312245665,82.34357215467583,1171.5742723306232,Rice,86.18768001417328,4121.527729896302
Kerala,Palakkad,Black Soil,Rice,63.1725734087754,26.97347512537876,76.18885635118461,24.88731283577743,78.43250326248406,1248.2620635231801,Rice,97.93701927915453,3737.363703733839
Gujarat,Vadodara,Alluvial Soil,Rice,101.32429778361518,25.79424177729391,49.06622339033374,24.168152716188004,86.34746172556981,1194.092319653046,Rice,97.43605456831325,3426.1389081627094
Maharashtra,Nagpur,Clay Soil,Groundnut,26.372198864384266,49.616825906458715,82.06583983864545,26.405695357839626,72.82373519361215,791.3158798022175,Groundnut,92.13604751785472,1775.6363432714863
Maharashtra,Pune,Clay Soil,Rice,106.10677031586386,29.306175858314056,62.03270727276479,24.61620728529914,79.11044243223847,1302.0274850212859,Rice,89.88613719090945,3372.2844192362745
Maharashtra,Pune,Red Soil,Maize,83.76817699726766,53.47340499842153,62.03295571696469,26.31320173585651,61.95407742164264,734.0910120415577,Maize,87.73876342483457,3492.3257285082036
Kerala,Palakkad,Sandy Soil,Groundnut,56.157312610302455,60.34030783759606,88.1463286968692,27.218907455533834,59.51016199748615,866.6204375237392,Groundnut,88.93219537744335,2213.8834222872165
Tamil Nadu,Salem,Black Soil,Cotton,83.66198390199409,52.95763894784752,29.716514572243675,31.208810506244525,61.562401518853136,944.8300399160573,Cotton,91.68333458536978,2025.1087892889554
Karnataka,Bengaluru,Clay Soil,Cotton,65.17366934033367,43.044395734945,58.13229520276481,28.054647153772308,57.281906956707026,838.6973511988772,Cotton,86.73348118728984,1545.0008171724191
Tamil Nadu,Madurai,Black Soil,Cotton,80.70403419366988,44.83470698794022,47.902491384344316,24.306302924549087,63.84420825950372,769.5838652694758,Cotton,91.72351997208928,1805.7458744227617
Karnataka,Mysuru,Clay Soil,Cotton,65.66378147125658,57.987558030767154,41.9303855552168,33.67611846654749,52.12382835082546,993.1916711983147,Cotton,95.9963509943215,1724.667025165202
Gujarat,Ahmedabad,Alluvial Soil,Rice,64.22406403340746,31.559961429633134,46.755277541890386,23.484590965657702,68.07331462978891,1284.235028505489,Rice,90.53329627604218,4021.7704665596675
Andhra Pradesh,Nellore,Red Soil,Wheat,112.73548656540234,48.782372666959574,23.940920452594895,18.40679211337254,47.47870031284733,833.0388086082537,Wheat,97.76353165882942,2689.990541439539
Maharashtra,Nagpur,Red Soil,Groundnut,35.883500548990405,48.433025238490806,88.62702724965612,23.52015836831184,68.22810013642099,746.8352855297744,Groundnut,96.04786711017232,1767.4854488695871
Karnataka,Tumkur,Red Soil,Groundnut,58.208272266592616,53.644915755720675,54.69030265077548,28.42726189272182,74.6045033502972,752.0979158682952,Groundnut,97.89998318351468,1944.3476774586227
Karnataka,Mysuru,Black Soil,Cotton,86.73206712249811,47.04560504682861,49.54028617063874,28.51638486569331,57.49063766886211,775.4346160543845,Cotton,86.0877882510885,2253.033323877231
Karnataka,Bengaluru,Alluvial Soil,Rice,87.61851822661927,29.79898591980769,40.44878808415048,26.482413274621436,76.84656460753816,1300.5832494769293,Rice,98.55446261216925,4407.923354913746
Tamil Nadu,Salem,Black Soil,Groundnut,30.24803535934493,55.772312373244624,65.5586640659363,25.31850308820254,78.46309815832419,693.8951772610762,Groundnut,92.1814409231916,2388.480896202894
Gujarat,Ahmedabad,Red Soil,Millet,52.021324816649255,38.34013602128574,32.9117119681337,28.629993214996436,56.36481938983203,372.9034292916975,Millet,96.99658739770209,1164.5641901384681
Gujarat,Vadodara,Clay Soil,Millet,72.75808838102097,33.35504361091077,28.570741071452268,32.3542110352706,54.95190335234335,625.1446300288787,Millet,90.68171982163081,1598.8976955517128
Andhra Pradesh,Guntur,Sandy Soil,Wheat,117.10571250839905,37.92426320783267,66.68512066627639,22.06678775653067,50.39733910976179,821.6344812050331,Wheat,96.01960367457146,2693.2644864886543
Maharashtra,Nashik,Clay Soil,Rice,87.5543230401195,29.798588133578022,59.1692295637817,26.780048960799533,78.50650791006113,1186.412301701736,Rice,85.4759774969617,3279.118429761288
Maharashtra,Nagpur,Red Soil,Millet,48.200807372716596,41.020046902811565,51.82340818711582,28.1182916404582,55.09820117540686,416.0239993791637,Millet,98.56254963278234,1737.5844610009733
Maharashtra,Pune,Alluvial Soil,Rice,88.37692578484221,29.559490541751224,69.03046762010084,26.30409706953281,77.41956556585544,1060.8404260407935,Rice,93.17920758279986,3438.7256847700146
Tamil Nadu,Madurai,Clay Soil,Cotton,64.30613493195347,59.3027034314551,56.44289131149941,29.3585860812695,57.11581572230494,1026.2998649634008,Cotton,86.2268936064413,2223.2074983943153
Tamil Nadu,Salem,Alluvial Soil,Maize,81.43031783915865,58.08692070349986,76.51194669016348,22.55775508082801,72.9331226981186,650.5246215485076,Maize,94.92192930981878,2940.192610219122
Maharashtra,Nashik,Sandy Soil,Maize,104.08936585339475,65.65544049400822,90.36746527409787,25.940895959938892,55.43490536908431,951.9367286844436,Maize,85.26099391944169,2802.1358754337525
Tamil Nadu,Madurai,Alluvial Soil,Rice,82.97392984262562,30.39580899826007,30.295274981779237,25.312866514543636,76.27143246684045,1339.970233765537,Rice,91.63620802556379,3618.578302075908
Andhra Pradesh,Nellore,Red Soil,Maize,90.05020954724205,63.842087627348484,104.61377950677954,24.665770828224915,51.95835634993789,781.7694132935402,Maize,94.44470560603901,2761.793043745371
Tamil Nadu,Erode,Black Soil,Sugarcane,81.10923689083064,57.7733057686456,26.12849272782069,32.43706803831877,85.1134460655952,1165.6957267578537,Sugarcane,88.32016806981534,5499.2630075600355
Kerala,Palakkad,Clay Soil,Cotton,62.34399769056533,52.23919690212642,57.39012971533545,26.20146612158103,65.74546040344114,678.5946378174501,Cotton,94.77068427365451,2015.274746814005
Tamil Nadu,Madurai,Clay Soil,Cotton,67.82497835407672,56.1951091680846,44.33371535435447,30.75890669797436,63.232641339391165,759.176622031624,Cotton,87.57960831797158,2474.695399858607
Kerala,Palakkad,Sandy Soil,Rice,107.01253699715056,28.394567558298277,38.20928604262115,21.66922480402422,80.81107190678807,965.0754684903945,Rice,90.36708999391145,3189.6746647923687
Maharashtra,Pune,Clay Soil,Cotton,70.34964474615008,64.3198887664841,32.34594721643889,29.6914014941629,62.29901482944953,749.3015439527239,Cotton,93.73025201212236,1816.4364781822417
Karnataka,Tumkur,Sandy Soil,Maize,107.26205442886209,59.955472862309804,89.56708791884714,28.462458571443925,60.22254840283816,675.72606354702,Maize,95.62898921371404,3042.1867044157334
Andhra Pradesh,Ongole,Sandy Soil,Sugarcane,77.51875288291698,54.52713071728117,42.04037089963823,32.66664175265643,77.61673966295193,942.1987207212018,Sugarcane,90.38760540233494,5851.340132616667
Tamil Nadu,Madurai,Red Soil,Cotton,70.95422134802145,59.98064851525927,37.125502947461,26.554035119228715,57.79481869519212,727.806059434864,Cotton,97.63462450678658,1965.467631838192
Andhra Pradesh,Ongole,Red Soil,Millet,67.38484448403915,27.282859958855767,56.97484885803515,27.066523797423034,67.85292054657245,515.5415337049828,Millet,97.1306751092956,1337.452672531235
Andhra Pradesh,Nellore,Clay Soil,Rice,106.92995613666767,43.84697459618187,39.73578405308322,24.40430796413526,73.40238564538845,1235.6641247763812,Rice,88.36918671000558,3587.004842093528
Kerala,Thrissur,Black Soil,Rice,92.0104911369576,36.94133599046825,45.51628213125749,21.557645982909712,81.20485876474545,1089.1845803161173,Rice,98.99709338097827,3506.748576408257
Kerala,Palakkad,Black Soil,Cotton,73.40713516278723,49.01644306484194,55.54221625713483,30.17136405946847,62.15480864425805,883.8220763466287,Cotton,90.1258131512122,2332.1871880212034
Kerala,Thrissur,Sandy Soil,Rice,106.72160120341809,37.18021733153617,40.22129070017591,22.54284978581873,84.48668786857925,1272.9530652833814,Rice,89.0057371470273,4108.351430655391
Gujarat,Vadodara,Alluvial Soil,Sugarcane,98.26229952648983,70.11257993349535,46.20021020407024,29.096009148073602,80.47613709981336,887.1801397683925,Sugarcane,94.85017808812427,4989.54995159243
Tamil Nadu,Coimbatore,Sandy Soil,Groundnut,28.477656102774986,53.73746444263283,56.855102403111744,24.665406309071294,62.343831492204075,716.7221483248843,Groundnut,94.39465473984075,2447.5185462225695
Gujarat,Surat,Red Soil,Millet,51.37042855743161,25.6555381413838,30.06373255556109,32.30113914780918,58.281901173998875,596.6073131198041,Millet,92.50942261901703,1138.9092036768361
Kerala,Thrissur,Clay Soil,Sugarcane,106.9479058980932,65.85811280041042,25.170788344121743,26.250257906860348,71.74673365072583,1265.7215499517145,Sugarcane,95.2562246552132,5114.057875164636
Maharashtra,Nagpur,Clay Soil,Maize,93.30120040026405,58.47344568764248,106.31538968130201,25.720591919011056,64.0163622375408,708.7389560797815,Maize,90.74805959332363,2726.987600312484
Tamil Nadu,Salem,Red Soil,Millet,47.38329457454171,45.06584195323511,50.799214628505595,30.24887719538814,67.8767532834598,412.9966498322128,Millet,93.77714191536862,1370.127746077383
Kerala,Thrissur,Sandy Soil,Wheat,97.41504764745848,50.52008249160058,56.05915050953131,18.126743733107507,54.87703955827922,559.744184503624,Wheat,96.64184413013348,3087.7659803463443
Andhra Pradesh,Nellore,Red Soil,Millet,43.09325732093517,38.75960175667025,41.13520723093339,29.389415722458132,56.3566409867885,403.50394876420046,Millet,95.89601506880543,1109.3270325752283
Maharashtra,Nashik,Black Soil,Cotton,59.41791928007577,51.17839100806083,41.11394598010248,32.93348497050756,64.23448387992114,589.6789272057573,Cotton,90.33938163751273,2261.062225016546
Andhra Pradesh,Nellore,Alluvial Soil,Millet,62.678643527337684,41.4755406492867,39.70216202470172,28.435578156440766,51.492650926213756,603.452029333247,Millet,87.56897754044925,1726.5498583513374
Maharashtra,Nagpur,Alluvial Soil,Rice,100.17912037085497,43.23737886872851,64.08139902798526,26.47073988965721,88.20596930389425,1410.0406818697138,Rice,87.0833682129927,3555.6432251463384
Andhra Pradesh,Guntur,Red Soil,Maize,104.39362535958358,43.527135234096576,67.65245793026415,26.727686193830895,65.3047849734371,945.7832549560023,Maize,96.87432222830908,3089.7337804413287
Gujarat,Surat,Sandy Soil,Sugarcane,90.55837486172024,55.87449620755565,38.66767740421117,31.204779689033558,67.46192893558282,1081.669410847247,Sugarcane,92.59833876185802,5319.919682403893
Andhra Pradesh,Guntur,Sandy Soil,Maize,97.31881408350314,41.5616315029013,85.03700716770173,30.011693009380977,66.4526688737043,847.4837226537245,Maize,87.17128372692883,2666.720666724094
Maharashtra,Nashik,Alluvial Soil,Rice,91.30976911272421,33.16916613048878,77.82502565766168,24.90864613718888,78.43250320691077,1043.1009621299488,Rice,89.84018883768863,3144.8906551379896
Tamil Nadu,Madurai,Alluvial Soil,Rice,77.23371222143896,35.21624280326036,46.97751546356435,24.47223136146218,76.52157031781697,1375.1868921376915,Rice,88.6598264558247,4376.012992961709
Tamil Nadu,Madurai,Black Soil,Sugarcane,87.58899722297124,53.6708728201165,48.69507331623704,29.98166024432423,80.65940813941252,849.2972422080217,Sugarcane,85.65939854544024,5360.780141568722
Gujarat,Surat,Clay Soil,Rice,78.39336567737955,38.12279112484999,63.113191401584174,23.921129277642002,87.56588605504531,1099.6656904741267,Rice,93.34224301292888,3213.2765599852596
Karnataka,Mysuru,Black Soil,Cotton,79.58730935005079,65.02412419097612,73.96099115327846,28.745822879482674,49.8680231985682,907.0462905187651,Cotton,85.16122172309343,2236.3884161037968
Karnataka,Tumkur,Black Soil,Millet,47.00079982469007,34.429863909740256,66.87837470884284,26.156586538388666,46.147753797611756,652.6514900902685,Millet,90.50231239803497,1595.5993509112436
Kerala,Kozhikode,Sandy Soil,Maize,88.57075082146238,52.96881367944097,95.53072575480334,28.531293305544914,63.865846001544696,728.9644220082739,Maize,85.5182837696546,3369.9843005115217
Maharashtra,Nashik,Black Soil,Maize,91.58387560551618,51.57738692031214,74.8208312940752,28.832298514201298,58.35363384128104,798.002356877126,Maize,90.00729483913996,3101.5768024566537
Gujarat,Ahmedabad,Black Soil,Cotton,70.85656830246161,45.61161256231247,62.32655779932125,30.462283428858527,50.71487103678902,575.7635793851758,Cotton,90.7392523679634,1822.8488307755306
Tamil Nadu,Madurai,Sandy Soil,Wheat,80.70706756369239,40.109726501455995,45.0659494846351,20.04470290528466,48.72098354065132,659.2122272528204,Wheat,93.08119442331119,2887.6047146090546
Tamil Nadu,Erode,Red Soil,Rice,79.3234609090233,18.105429945425296,46.16979366682044,22.678787634809854,72.14380588125965,927.9934228614793,Rice,91.34119941053554,4059.33433439843
Maharashtra,Nashik,Alluvial Soil,Rice,94.93521149606455,28.06493612613815,45.014486922085965,22.19494040586845,84.00628185613908,1101.9437675850381,Rice,95.12069767586554,3748.151186806947
Kerala,Thrissur,Sandy Soil,Sugarcane,82.07073199154623,55.57080169705886,29.594244555705338,32.14536874327872,71.86342857792202,1132.10728740073,Sugarcane,85.65356630438795,5156.7099921536
Tamil Nadu,Madurai,Red Soil,Sugarcane,90.09343679672247,45.56534407910917,21.433365846598637,32.091395303356634,81.96433320447329,1211.1488452376964,Sugarcane,87.08832139847334,5730.012247302866
Karnataka,Mysuru,Black Soil,Rice,70.5744355822789,32.86667519685627,56.73947210485717,22.92478184823745,82.93857974745467,994.0611012555411,Rice,94.28657265980445,4322.801740240774
Maharashtra,Pune,Clay Soil,Wheat,110.50426725507248,54.045187543108796,61.81521602698615,23.18052636920175,50.78713558909812,667.4057383401018,Wheat,85.34883593619897,2671.225855875849
Kerala,Palakkad,Alluvial Soil,Rice,98.14166065880625,32.748478044553295,69.80009305363124,23.791788766021114,81.48385419206834,1247.167580220295,Rice,91.55580001947568,4475.057123309914
Gujarat,Vadodara,Alluvial Soil,Rice,104.81628089068079,40.44344000051526,75.13276399757149,25.955240422602774,76.76555182805525,1329.2917652971691,Rice,90.89794137025996,4203.021215379813
Gujarat,Vadodara,Red Soil,Maize,113.6982993975841,57.85318220997707,69.387596298314,26.113226668542197,62.105222534724085,982.0156061334511,Maize,92.80934337588633,2775.562250536608
Tamil Nadu,Coimbatore,Black Soil,Sugarcane,79.80100774798348,53.21352123518562,48.28486193468623,31.59465832308679,79.33311868337394,1088.6086463688064,Sugarcane,94.14299155947293,5826.379158629776
Tamil Nadu,Madurai,Clay Soil,Sugarcane,70.64256680980182,55.13228999781435,36.318323838982934,32.63129157052992,81.64567865718202,1545.473903481414,Sugarcane,94.58958068156566,5878.463670161964
Kerala,Palakkad,Red Soil,Cotton,71.74646478612195,50.16421312213334,21.39981602500234,28.65150076507191,67.5174398710845,769.3761682017908,Cotton,89.30658448540576,1803.3868908107668
Kerala,Kozhikode,Red Soil,Cotton,76.57320399403385,61.549339085251844,41.25301918907597,27.449798184128554,72.24694968337663,922.4504821327134,Cotton,87.13594166347423,1599.7233494080187
Maharashtra,Nagpur,Alluvial Soil,Millet,72.34935095390364,42.46731488974304,56.179081595589984,29.28513102126025,57.134544728793884,400.1902505636524,Millet,89.53767059404781,1725.395682892138
Gujarat,Surat,Clay Soil,Maize,86.13881696422128,49.370670726326786,96.07532905410699,24.60852134456369,74.81493451398163,692.3425159602887,Maize,94.55182016909342,3249.355357058502
Andhra Pradesh,Ongole,Red Soil,Sugarcane,112.15365028521211,55.983986104689016,49.30644290828016,28.472205610904652,67.27639503460495,1481.3598924951139,Sugarcane,89.10919544835728,4767.41002885731
Gujarat,Vadodara,Red Soil,Cotton,64.41684546755346,41.07577346455037,35.01703941178212,27.131306901449374,63.389681368950924,1077.2244164430806,Cotton,90.7153450681994,1950.3614656350576
Kerala,Thrissur,Clay Soil,Sugarcane,94.0729297759574,60.85895596016829,20.992412202008822,27.413786694865244,81.32005589105701,1368.4033316393438,Sugarcane,89.2015262144732,5347.758056601211
Tamil Nadu,Coimbatore,Alluvial Soil,Sugarcane,85.08707567336748,51.784057588027366,24.75155894919663,27.542886766307863,74.76738033262221,968.6402196739446,Sugarcane,98.74610803076362,5621.184942583158
Tamil Nadu,Madurai,Black Soil,Cotton,87.11939134015066,61.07273694107984,48.897255128644986,30.437804495345713,66.20284259374728,765.2653126538094,Cotton,88.89045177123498,2459.441276746516
Gujarat,Ahmedabad,Clay Soil,Sugarcane,91.53362917105123,51.841559147095325,23.8093177402975,29.227080483231177,69.76778104636203,1196.44997020874,Sugarcane,85.53439934854921,5266.901908038039
